id,japaneseName,family,photo,dateTaken,placeName,latitude,longitude,prefecture,country,individualType,memo,speciesGroupID
79,イカル,アトリ科,/写真保管フォルダ/イカル_1_20250224_京都御苑.jpg,2025/2/24,京都御苑,35.0253,135.7621,京都府,日本,,,イカル
80,カワラヒワ,アトリ科,/写真保管フォルダ/カワラヒワ_1_20250224_京都御苑.jpg,2025/2/24,京都御苑,35.0253,135.7621,京都府,日本,,,カワラヒワ
81,ビンズイ,セキレイ科,/写真保管フォルダ/ビンズイ_1_20250224_京都御苑.jpg,2025/2/24,京都御苑,35.0253,135.7621,京都府,日本,,,ビンズイ
82,イソヒヨドリ,ヒタキ科,/写真保管フォルダ/イソヒヨドリ_2_20250224_京都御苑.jpg,2025/2/24,京都御苑,35.0253,135.7621,京都府,日本,,,イソヒヨドリ
83,ルリビタキ,ヒタキ科,/写真保管フォルダ/ルリビタキ_2_20250224_京都御苑.jpg,2025/2/24,京都御苑,35.0253,135.7621,京都府,日本,成鳥メス,,ルリビタキ
84,トラツグミ,ヒタキ科,/写真保管フォルダ/トラツグミ_1_20250224_京都御苑.jpg,2025/2/24,京都御苑,35.0253,135.7621,京都府,日本,,,トラツグミ
85,ホシハジロ,カモ科,/写真保管フォルダ/ホシハジロ_2_20241207_今城塚古墳.jpg,2024/12/7,今城塚古墳,34.51092,135.353899,大阪府,日本,成鳥オス,,ホシハジロ
86,キセキレイ,セキレイ科,/写真保管フォルダ/キセキレイ_1_20241207_今城塚古墳.jpg,2024/12/7,今城塚古墳,34.51092,135.353899,大阪府,日本,成鳥オス,,キセキレイ
87,トモエガモ,カモ科,/写真保管フォルダ/トモエガモ_1_20241207_今城塚古墳.jpg,2024/12/7,今城塚古墳,34.51092,135.353899,大阪府,日本,成鳥オス,,トモエガモ
88,バン,クイナ科,/写真保管フォルダ/バン_2_20241116_長居植物園.jpg,2024/11/16,長居植物園,34.36378,135.31177,大阪府,日本,成鳥メス,,バン
89,カイツブリ,カイツブリ科,/写真保管フォルダ/カイツブリ_1_20241116_長居植物園.jpg,2024/11/16,長居植物園,34.36378,135.31177,大阪府,日本,,,カイツブリ
90,ツバメ,ツバメ科,/写真保管フォルダ/ツバメ_1_20240429_南港野鳥園.jpg,2024/4/29,南港野鳥園,34.3854,135.23589,大阪府,日本,,,ツバメ
91,メダイチドリ,チドリ科,/写真保管フォルダ/メダイチドリ_1_20240429_南港野鳥園.jpg,2024/4/29,南港野鳥園,34.3854,135.23589,大阪府,日本,,,メダイチドリ
